Radar NIS, Time 
19.7341,0
29.8567,0
1.55684,0
4.39315,33333
5.93251,33333
2.4556,33333
2.77212,66666
1.8761,66666
1.37955,66666
0.794205,100000
2.29812,100000
1.58984,100000
4.33953,133333
7.02326,133333
2.69476,133333
3.0324,166666
3.36929,166666
3.6018,166666
4.24453,200000
6.01093,200000
2.37706,200000
4.02438,233333
5.66735,233333
5.28694,233333
1.45779,266666
1.19284,266666
2.02212,266666
4.31477,300000
4.12203,300000
4.67673,300000
2.13891,333333
0.848367,333333
1.9795,333333
2.02139,366666
0.959696,366666
1.21849,366666
2.71918,400000
2.20724,400000
2.00959,400000
5.05166,433333
5.39477,433333
6.92217,433333
6.92063,466666
8.67568,466666
3.82235,466666
7.62887,500000
7.48416,500000
8.35484,500000
0.89713,533333
0.794088,533333
1.57891,533333
4.24483,566666
5.52385,566666
3.71202,566666
1.86835,600000
1.65131,600000
1.83225,600000
2.60257,633333
3.00876,633333
2.85429,633333
1.11876,666666
1.16065,666666
1.95079,666666
0.727901,700000
0.690096,700000
2.37122,700000
1.79017,733333
1.5246,733333
4.4189,733333
0.475034,766666
0.0396609,766666
3.15819,766666
4.65635,800000
3.43495,800000
8.1244,800000
4.31914,833333
5.4042,833333
4.17626,833333
3.30822,866666
4.19244,866666
3.91939,866666
2.77502,900000
2.31204,900000
7.38248,900000
0.999634,933333
0.405281,933333
5.3884,933333
2.88307,966666
3.16865,966666
6.5569,966666
1.03695,1000000
1.20417,1000000
1.50846,1000000
1.59557,1033333
1.02127,1033333
3.11285,1033333
4.65311,1066666
4.23983,1066666
14.0608,1066666
3.42281,1100000
2.4439,1100000
5.73045,1100000
5.10976,1133333
6.16336,1133333
3.84656,1133333
6.8336,1166666
9.32209,1166666
7.8897,1166666
2.20192,1200000
0.922654,1200000
2.97349,1200000
1.23497,1233333
1.1794,1233333
11.6946,1233333
3.0498,1266666
2.46589,1266666
16.8399,1266666
4.47637,1300000
6.05377,1300000
5.99944,1300000
2.03213,1333333
0.465849,1333333
8.97728,1333333
3.4329,1366666
1.4275,1366666
9.06228,1366666
2.82911,1400000
4.40663,1400000
2.6115,1400000
9.97537,1433333
7.04115,1433333
9.53785,1433333
0.559352,1466666
1.15133,1466666
3.30092,1466666
1.77492,1500000
2.51883,1500000
15.4887,1500000
2.35505,1533333
0.379075,1533333
8.0302,1533333
0.552259,1566666
2.38889,1566666
13.7597,1566666
2.83066,1600000
6.29411,1600000
18.7856,1600000
3.76302,1633333
1.63091,1633333
4.13601,1633333
9.55771,1666666
4.73841,1666666
13.9567,1666666
4.17214,1700000
2.31881,1700000
18.5448,1700000
9.18299,1733333
5.77099,1733333
19.7493,1733333
3.27531,1766666
1.7599,1766666
14.8134,1766666
1.63601,1800000
0.829418,1800000
9.81049,1800000
8.06257,1833333
6.12235,1833333
17.4085,1833333
3.08993,1866666
2.91074,1866666
7.84993,1866666
4.00473,1900000
4.27206,1900000
20.4469,1900000
3.29833,1933333
2.52601,1933333
10.6044,1933333
1.85879,1966666
2.25599,1966666
15.0825,1966666
3.30272,2000000
3.26234,2000000
4.49008,2000000
1.9577,2033333
1.29573,2033333
4.38083,2033333
3.15831,2066666
2.6397,2066666
4.69083,2066666
6.09234,2100000
7.06727,2100000
19.1379,2100000
1.80411,2133333
2.41177,2133333
11.6143,2133333
0.688859,2166666
1.09261,2166666
11.5057,2166666
0.676538,2200000
0.558725,2200000
5.69128,2200000
2.8848,2233333
2.76554,2233333
10.8795,2233333
1.66203,2266666
2.80551,2266666
2.29319,2266666
5.7376,2300000
4.77041,2300000
16.2746,2300000
2.42055,2333333
0.526685,2333333
9.13932,2333333
3.01294,2366666
0.867668,2366666
7.5011,2366666
3.93343,2400000
1.00907,2400000
8.42731,2400000
4.33628,2433333
3.60462,2433333
8.27393,2433333
6.04381,2466666
4.8178,2466666
2.66568,2466666
3.96434,2500000
2.1938,2500000
3.64887,2500000
6.11262,2533333
2.00367,2533333
5.90996,2533333
5.14051,2566666
1.01283,2566666
9.11712,2566666
9.50348,2600000
2.98014,2600000
11.1209,2600000
0.776695,2633333
3.78407,2633333
2.37297,2633333
2.54271,2666666
1.76788,2666666
1.50691,2666666
0.633671,2700000
0.469734,2700000
5.62926,2700000
2.29118,2733333
0.830475,2733333
6.57284,2733333
0.828273,2766666
5.01779,2766666
4.02285,2766666
2.87143,2800000
4.69033,2800000
6.20962,2800000
1.91339,2833333
5.59573,2833333
5.61669,2833333
14.6481,2866666
6.83422,2866666
15.6094,2866666
6.68039,2900000
5.01984,2900000
15.2698,2900000
1.25496,2933333
0.306364,2933333
4.95078,2933333
5.67378,2966666
2.1942,2966666
7.26586,2966666
0.749542,3000000
0.0989661,3000000
4.44092,3000000
3.14532,3033333
1.76276,3033333
7.67849,3033333
1.77216,3066666
1.08549,3066666
6.36615,3066666
3.51725,3100000
2.22914,3100000
19.296,3100000
4.35314,3133333
4.38816,3133333
10.6423,3133333
1.96692,3166666
2.36762,3166666
5.31046,3166666
1.02213,3200000
1.66393,3200000
2.35627,3200000
4.77691,3233333
5.1536,3233333
25.1013,3233333
0.888233,3266666
0.535371,3266666
37.6611,3266666
5.92927,3300000
3.91379,3300000
36.1408,3300000
2.84694,3333333
1.58154,3333333
9.5423,3333333
10.4451,3366666
3.99759,3366666
11.3412,3366666
0.0737282,3400000
2.23047,3400000
